ID,cb_person_cred_hist_length,credit_score,loan_int_rate,loan_intent,loan_percent_income,person_education,person_emp_exp,person_gender,person_home_ownership,person_income,loan_status
65,9,664,9.62,VENTURE,0.17,Bachelor,10,male,MORTGAGE,118644,0
66,3,658,12.68,VENTURE,0.14,Associate,0,female,RENT,83790,1
67,12,601,5.99,MEDICAL,0.16,Associate,13,male,MORTGAGE,25130,0
68,3,553,9.63,DEBTCONSOLIDATION,0.12,High School,3,male,RENT,84868,0
69,6,660,11.55,MEDICAL,0.15,Bachelor,5,female,RENT,64595,0
70,15,558,7.9,MEDICAL,0.19,Associate,22,male,RENT,90990,0
71,16,677,11.01,VENTURE,0.08,Master,16,female,MORTGAGE,149643,0
72,11,678,14.15,MEDICAL,0.21,Bachelor,12,female,RENT,38222,1
73,3,637,11.49,DEBTCONSOLIDATION,0.13,Associate,2,male,MORTGAGE,90920,0
74,4,697,12.61,EDUCATION,0.1,Bachelor,2,male,MORTGAGE,75208,0
75,4,625,8.69,EDUCATION,0.1,Associate,1,female,RENT,48864,0
76,3,547,9.61,MEDICAL,0.12,Associate,1,male,MORTGAGE,50398,0
77,13,712,12.99,VENTURE,0.08,Master,14,female,MORTGAGE,75598,0
78,4,619,10.75,EDUCATION,0.21,High School,1,male,MORTGAGE,121158,0
79,6,662,8.5,HOMEIMPROVEMENT,0.03,Bachelor,7,female,MORTGAGE,66041,0
80,10,692,10.47,MEDICAL,0.15,Bachelor,11,female,RENT,66882,0
81,3,720,13.11,VENTURE,0.18,Bachelor,3,female,RENT,56308,0
82,13,631,14.84,HOMEIMPROVEMENT,0.19,Bachelor,29,male,MORTGAGE,51334,0
83,4,656,10.39,DEBTCONSOLIDATION,0.19,Associate,0,female,RENT,21092,1
84,9,593,14.74,VENTURE,0.14,Associate,12,male,RENT,91359,0
85,4,671,13.43,EDUCATION,0.11,High School,2,male,MORTGAGE,70440,0
86,2,587,11.83,PERSONAL,0.11,High School,0,female,MORTGAGE,110349,0
87,4,631,11.49,PERSONAL,0.43,Bachelor,1,female,RENT,42910,1
88,4,547,13.47,EDUCATION,0.05,Associate,4,female,RENT,58692,0
89,8,714,9.64,PERSONAL,0.24,Bachelor,10,male,RENT,20949,1
90,2,600,6.76,EDUCATION,0.05,Bachelor,0,female,RENT,42441,0
91,6,559,9.33,VENTURE,0.22,Bachelor,11,female,MORTGAGE,44812,0
92,8,623,12.03,MEDICAL,0.03,Associate,5,female,RENT,46512,0
93,2,605,13.49,PERSONAL,0.13,High School,0,male,RENT,90581,0
94,4,533,14.03,VENTURE,0.1,High School,0,male,MORTGAGE,156665,0
95,8,555,11.66,HOMEIMPROVEMENT,0.13,Bachelor,6,female,RENT,77797,0
96,8,643,10.62,EDUCATION,0.13,Associate,11,male,MORTGAGE,189040,0
97,5,664,5.99,PERSONAL,0.16,Associate,9,male,MORTGAGE,61281,0
98,5,622,10.75,PERSONAL,0.02,Bachelor,9,female,RENT,181080,0
99,14,598,10.39,EDUCATION,0.07,Associate,17,male,MORTGAGE,246751,0
100,4,612,6.34,EDUCATION,0.04,Master,0,male,MORTGAGE,103203,0
101,2,648,15.23,PERSONAL,0.03,Associate,0,male,MORTGAGE,72999,0
102,4,558,13.79,MEDICAL,0.05,High School,1,female,MORTGAGE,151067,0
103,2,492,7.14,EDUCATION,0.07,High School,3,male,OWN,91485,0
104,9,604,12.73,HOMEIMPROVEMENT,0.16,Bachelor,2,male,RENT,92289,0
105,4,578,11.49,EDUCATION,0.17,Bachelor,3,female,MORTGAGE,73422,0
106,9,685,13.96,VENTURE,0.28,Master,6,male,RENT,50413,1
107,2,644,8.49,DEBTCONSOLIDATION,0.14,High School,2,male,MORTGAGE,108849,0
108,3,636,7.88,MEDICAL,0.19,Bachelor,1,female,RENT,78962,0
109,2,678,13.99,MEDICAL,0.06,Bachelor,4,male,RENT,63649,1
110,9,636,8.62,HOMEIMPROVEMENT,0.29,Bachelor,9,male,RENT,23963,1
111,2,641,14.54,VENTURE,0.22,Associate,1,male,RENT,106607,1
112,9,564,7.29,MEDICAL,0.07,High School,9,male,RENT,72818,0
113,6,679,11.71,PERSONAL,0.06,High School,10,male,MORTGAGE,85062,0
114,3,653,15.96,VENTURE,0.21,Associate,0,male,MORTGAGE,72868,0
115,7,615,13.43,HOMEIMPROVEMENT,0.27,High School,12,male,MORTGAGE,36953,1
116,9,506,8.69,VENTURE,0.16,Bachelor,0,female,RENT,90931,0
117,3,607,7.88,HOMEIMPROVEMENT,0.1,High School,6,male,MORTGAGE,150848,0
118,9,638,10.74,EDUCATION,0.2,Master,2,female,MORTGAGE,84750,0
119,5,551,14.72,VENTURE,0.15,Master,7,female,RENT,13665,1
120,2,576,6.76,EDUCATION,0.1,Bachelor,1,male,OWN,30625,0
121,9,685,12.42,EDUCATION,0.14,High School,11,female,MORTGAGE,57292,0
122,3,592,14.61,VENTURE,0.18,High School,3,female,MORTGAGE,107046,0
123,2,662,13.85,MEDICAL,0.31,Bachelor,3,female,OWN,23667,1
124,8,672,17.58,EDUCATION,0.12,Associate,8,female,RENT,122423,1
125,10,679,11.77,EDUCATION,0.04,Master,9,female,MORTGAGE,180922,0
126,8,664,7.66,VENTURE,0.05,High School,7,female,MORTGAGE,80624,0
127,3,597,6.03,DEBTCONSOLIDATION,0.1,Bachelor,1,male,RENT,72936,0
128,16,674,17.27,HOMEIMPROVEMENT,0.22,Associate,18,male,OWN,69194,0
129,12,652,5.79,DEBTCONSOLIDATION,0.14,High School,16,male,RENT,80521,0
130,3,600,7.88,DEBTCONSOLIDATION,0.12,Associate,1,female,RENT,43111,0
131,3,625,11.36,MEDICAL,0.2,High School,0,male,RENT,29557,0
132,7,745,6.91,PERSONAL,0.04,Master,11,female,OWN,162982,0
133,28,660,11.71,PERSONAL,0.09,High School,28,female,OWN,56460,0
134,29,686,15.68,EDUCATION,0.14,Associate,42,male,RENT,48899,1
135,7,662,10.13,PERSONAL,0.4,High School,4,male,OWN,42133,0
136,5,556,5.99,EDUCATION,0.05,Bachelor,5,female,MORTGAGE,82627,0
137,3,585,6.62,EDUCATION,0.03,High School,0,male,MORTGAGE,74210,0
138,3,628,15.62,EDUCATION,0.15,High School,0,female,RENT,53636,0
139,6,659,14.55,DEBTCONSOLIDATION,0.16,High School,5,female,RENT,55034,0
140,6,633,11.48,DEBTCONSOLIDATION,0.19,Associate,4,male,MORTGAGE,45646,0
141,4,537,10.65,DEBTCONSOLIDATION,0.06,Bachelor,0,male,MORTGAGE,63919,0
142,8,690,16.17,DEBTCONSOLIDATION,0.07,Bachelor,9,male,RENT,50296,1
143,3,541,10.99,VENTURE,0.21,High School,0,male,RENT,24003,1
144,7,687,14.11,VENTURE,0.04,Bachelor,13,female,MORTGAGE,90887,0
145,5,699,9.17,HOMEIMPROVEMENT,0.2,Associate,2,male,RENT,49973,0
146,13,654,12.53,PERSONAL,0.15,Associate,14,female,MORTGAGE,51368,0
147,4,650,7.16,VENTURE,0.12,Bachelor,0,female,RENT,57475,0
148,3,647,6.62,EDUCATION,0.08,Bachelor,1,male,MORTGAGE,118603,0
149,4,667,12.53,DEBTCONSOLIDATION,0.06,Associate,1,male,OTHER,76901,0
150,3,659,7.51,VENTURE,0.2,Associate,0,female,OWN,83896,0
151,4,649,6.91,VENTURE,0.27,Associate,3,female,RENT,30998,1
152,17,627,7.9,PERSONAL,0.16,Associate,21,male,RENT,62716,0
153,17,710,13.35,DEBTCONSOLIDATION,0.15,Associate,17,male,MORTGAGE,133045,0
154,3,587,16.02,DEBTCONSOLIDATION,0.1,Associate,2,female,MORTGAGE,40039,1
155,4,638,8.59,EDUCATION,0.09,Bachelor,6,male,MORTGAGE,107062,0
156,2,643,8.59,EDUCATION,0.22,High School,2,male,RENT,44470,0
157,4,625,15.72,MEDICAL,0.22,Bachelor,2,male,RENT,76551,1
158,2,643,11.01,HOMEIMPROVEMENT,0.04,Associate,2,female,RENT,126839,0
159,4,610,14.74,HOMEIMPROVEMENT,0.08,High School,1,female,RENT,13021,1
160,8,676,11.58,EDUCATION,0.03,Bachelor,11,male,RENT,56045,0
161,12,588,11.01,EDUCATION,0.13,High School,19,male,MORTGAGE,93348,0
162,12,626,12.78,VENTURE,0.13,Bachelor,13,male,RENT,25851,0
163,6,644,10.75,HOMEIMPROVEMENT,0.15,High School,7,male,MORTGAGE,97290,0
164,3,607,9.32,PERSONAL,0.1,High School,0,male,OWN,14293,0
165,12,649,10.38,EDUCATION,0.07,High School,21,male,RENT,106956,0
166,4,669,11.49,DEBTCONSOLIDATION,0.07,Associate,1,male,RENT,111537,0
167,11,631,13.48,PERSONAL,0.06,Associate,20,male,MORTGAGE,80167,0
168,3,644,15.27,MEDICAL,0.15,High School,2,female,RENT,35685,0
169,15,615,8.87,PERSONAL,0.09,Bachelor,24,female,MORTGAGE,105667,0
170,4,708,11.35,PERSONAL,0.16,Bachelor,5,female,RENT,62167,1
171,8,586,13.24,HOMEIMPROVEMENT,0.21,Bachelor,3,male,MORTGAGE,96831,0
172,7,676,10.76,EDUCATION,0.19,Associate,10,female,MORTGAGE,94379,0
173,3,636,16.82,PERSONAL,0.16,High School,1,male,MORTGAGE,95147,0
174,8,622,11.48,MEDICAL,0.17,Associate,4,male,OWN,28837,0
175,4,654,12.99,MEDICAL,0.11,Bachelor,2,male,RENT,87725,0
176,9,707,13.52,EDUCATION,0.14,Associate,13,female,RENT,71870,1
177,2,572,6.17,VENTURE,0.04,High School,1,female,RENT,51696,0
178,10,656,6.62,MEDICAL,0.22,Master,8,male,MORTGAGE,40069,0
179,8,645,13.23,MEDICAL,0.18,Bachelor,6,male,RENT,29742,0
180,7,552,8.9,MEDICAL,0.16,High School,12,male,MORTGAGE,30698,1
181,17,727,10.03,HOMEIMPROVEMENT,0.04,Bachelor,22,female,MORTGAGE,144620,0
182,17,622,7.65,MEDICAL,0,Associate,22,male,MORTGAGE,1661567,0
183,2,622,16.45,MEDICAL,0.06,High School,6,male,RENT,39029,1
184,3,707,7.9,PERSONAL,0.04,Bachelor,0,female,MORTGAGE,81730,0
185,9,652,8.88,VENTURE,0.17,Associate,7,male,MORTGAGE,118788,0
186,5,676,5.79,DEBTCONSOLIDATION,0.16,Master,9,male,RENT,44098,1
187,3,678,12.18,MEDICAL,0.08,High School,0,female,RENT,22819,1
188,4,591,8.51,VENTURE,0.09,Master,2,male,MORTGAGE,127106,0
189,8,664,9.68,PERSONAL,0.07,Associate,5,male,MORTGAGE,270660,0
190,7,636,11.99,PERSONAL,0.26,High School,6,male,RENT,58735,1
191,2,556,7.9,DEBTCONSOLIDATION,0.11,High School,0,female,RENT,150952,0
192,3,625,13.26,EDUCATION,0.08,High School,0,male,RENT,33782,0
193,15,676,9.91,VENTURE,0.24,High School,13,female,RENT,49105,0
194,4,623,8.9,VENTURE,0.1,High School,4,female,MORTGAGE,75520,0
195,5,659,9.52,MEDICAL,0.05,Master,2,male,MORTGAGE,109394,0
196,3,613,6.91,MEDICAL,0.22,Bachelor,2,male,MORTGAGE,80399,0
197,8,575,11.06,MEDICAL,0.07,Master,7,male,RENT,97141,0
198,3,580,11.12,MEDICAL,0.15,High School,6,male,RENT,50828,0
199,4,701,6.99,EDUCATION,0.04,Master,0,male,RENT,78958,0
200,8,687,14.82,EDUCATION,0.18,Master,5,male,MORTGAGE,109408,0
201,4,648,6.03,PERSONAL,0.39,Bachelor,0,female,RENT,37145,1
202,2,662,11.49,VENTURE,0.1,Associate,0,male,RENT,67156,0
203,3,653,14.22,DEBTCONSOLIDATION,0.31,Associate,4,male,RENT,48596,1
204,15,647,14.98,PERSONAL,0.18,High School,16,male,RENT,84852,0
205,2,606,7.49,MEDICAL,0.08,High School,0,female,RENT,90865,0
206,7,685,13.22,PERSONAL,0.14,Bachelor,6,male,RENT,73149,0
207,2,632,11.99,MEDICAL,0.17,Associate,0,male,MORTGAGE,35699,0
208,6,618,6.54,PERSONAL,0.06,Bachelor,8,female,MORTGAGE,74080,0
209,2,629,9.99,VENTURE,0.23,Associate,0,male,RENT,34972,0
210,9,556,15.23,PERSONAL,0.04,Bachelor,4,female,RENT,40844,0
211,7,663,11.01,MEDICAL,0.04,High School,7,female,MORTGAGE,114918,0
212,11,679,12.46,VENTURE,0.16,High School,22,female,RENT,37109,1
213,8,635,11.99,HOMEIMPROVEMENT,0.32,Doctorate,5,male,MORTGAGE,29760,0
214,4,597,12.44,MEDICAL,0.05,High School,0,male,RENT,64548,0
215,6,664,5.8,PERSONAL,0.08,Associate,8,male,MORTGAGE,103849,0
216,3,586,5.99,MEDICAL,0.21,Associate,0,female,MORTGAGE,71766,0
217,3,666,8.9,MEDICAL,0.09,Master,3,male,RENT,53638,0
218,4,616,11.01,VENTURE,0.12,Bachelor,2,female,MORTGAGE,73057,0
219,4,672,7.49,PERSONAL,0.07,Associate,0,male,MORTGAGE,186090,0
220,4,488,7.61,PERSONAL,0.2,Bachelor,2,male,RENT,85146,0
221,3,574,13.92,PERSONAL,0.22,Bachelor,2,male,MORTGAGE,31349,0
222,5,550,7.29,PERSONAL,0.08,Bachelor,6,male,RENT,88421,0
223,6,615,11.89,HOMEIMPROVEMENT,0.02,Bachelor,11,male,RENT,138890,0
224,5,716,8.88,MEDICAL,0.2,Associate,2,female,RENT,34344,0
225,6,540,5.42,VENTURE,0.06,Associate,4,female,MORTGAGE,168937,0
226,6,613,7.14,DEBTCONSOLIDATION,0.15,Bachelor,8,male,MORTGAGE,58856,0
227,4,705,11.14,VENTURE,0.43,High School,1,male,MORTGAGE,51325,0
228,3,562,7.4,MEDICAL,0.06,Associate,0,female,MORTGAGE,72988,0
229,3,660,9.99,HOMEIMPROVEMENT,0.1,High School,4,female,RENT,193076,0
230,3,641,13.8,HOMEIMPROVEMENT,0.16,Bachelor,3,female,MORTGAGE,88424,1
231,2,718,7.9,VENTURE,0.17,Bachelor,2,male,MORTGAGE,60570,0
232,20,670,6.76,PERSONAL,0.11,Associate,35,male,MORTGAGE,74199,0
233,2,685,11.83,MEDICAL,0.15,Bachelor,4,female,RENT,80247,0
234,3,647,9.91,VENTURE,0.09,Bachelor,0,female,RENT,66611,0
235,7,616,13.23,VENTURE,0.1,Bachelor,5,male,OWN,103166,0
236,7,691,16.3,EDUCATION,0.09,Master,10,male,RENT,56639,1
237,2,496,12.68,PERSONAL,0.04,Associate,6,female,MORTGAGE,115592,0
238,8,662,9.63,DEBTCONSOLIDATION,0.41,Bachelor,8,male,MORTGAGE,36818,0
239,4,567,11.77,HOMEIMPROVEMENT,0.24,Bachelor,1,male,MORTGAGE,106169,0
240,2,663,12.84,DEBTCONSOLIDATION,0.01,High School,1,male,MORTGAGE,109055,0
241,9,571,9.96,PERSONAL,0.04,Master,4,male,RENT,75296,0
242,10,647,10.59,HOMEIMPROVEMENT,0.07,Associate,5,male,RENT,61054,0
243,2,552,13.11,MEDICAL,0.04,Associate,0,male,RENT,37436,0
244,4,673,7.66,MEDICAL,0.4,Master,0,male,RENT,46436,1
245,2,606,5.79,VENTURE,0.08,Master,0,male,MORTGAGE,76212,0
246,2,637,13.06,DEBTCONSOLIDATION,0.01,Bachelor,3,male,MORTGAGE,103301,0
247,3,581,7.14,VENTURE,0.08,Associate,1,male,MORTGAGE,82635,0
248,2,597,7.5,MEDICAL,0.05,Associate,0,female,RENT,43537,0
249,6,612,10.99,HOMEIMPROVEMENT,0.05,Bachelor,4,male,MORTGAGE,87419,0
250,2,651,9.99,MEDICAL,0.02,High School,0,female,RENT,91158,0
251,7,667,7.38,EDUCATION,0.16,Doctorate,1,female,RENT,31299,0
252,8,689,6.91,DEBTCONSOLIDATION,0.2,Bachelor,3,female,MORTGAGE,110825,0
253,3,673,13.8,EDUCATION,0.22,Bachelor,2,female,RENT,31075,0
254,3,589,12.21,MEDICAL,0.17,Bachelor,0,female,OWN,29678,0
255,2,615,11.48,VENTURE,0.03,Associate,3,male,MORTGAGE,72989,0
256,3,617,11.49,VENTURE,0.02,High School,4,female,RENT,97083,0
257,3,520,10.95,MEDICAL,0.05,Associate,0,female,MORTGAGE,102828,0
258,16,638,10.08,DEBTCONSOLIDATION,0.12,Bachelor,11,male,RENT,50513,0
259,15,645,9.64,HOMEIMPROVEMENT,0.28,High School,18,male,MORTGAGE,36996,0
260,3,606,9.61,EDUCATION,0.23,High School,1,male,RENT,24235,1
261,6,681,10.99,PERSONAL,0.08,Associate,2,female,RENT,38276,0
262,17,630,9.63,EDUCATION,0.19,High School,12,female,RENT,76772,0
263,10,657,11.71,PERSONAL,0.1,Bachelor,12,male,RENT,46079,0
264,4,595,10.38,EDUCATION,0.22,Associate,3,male,MORTGAGE,63172,0
265,10,710,11.01,VENTURE,0.15,Bachelor,11,male,MORTGAGE,103267,0
266,5,500,7.9,VENTURE,0.04,High School,5,male,RENT,35357,0
267,10,680,9.83,HOMEIMPROVEMENT,0.06,Master,3,male,RENT,116285,0
268,4,601,12.98,VENTURE,0.27,Master,0,male,OWN,16664,1
269,2,611,16.49,VENTURE,0.24,Bachelor,0,female,MORTGAGE,63604,0
270,12,618,11.83,VENTURE,0.05,High School,14,female,MORTGAGE,280587,0
271,9,553,10.58,DEBTCONSOLIDATION,0.04,Master,5,female,MORTGAGE,100328,0
272,2,577,16.29,VENTURE,0.05,High School,2,male,RENT,38154,1
273,4,647,10.37,MEDICAL,0.14,High School,3,female,MORTGAGE,84989,0
274,4,664,11.01,EDUCATION,0.28,Bachelor,0,male,RENT,46830,1
275,7,680,11.01,HOMEIMPROVEMENT,0.15,Bachelor,8,female,MORTGAGE,84810,0
276,3,681,7.49,PERSONAL,0.11,Bachelor,0,male,MORTGAGE,63235,0
277,2,600,11.01,MEDICAL,0.22,High School,0,male,OWN,107319,0
278,10,686,10.76,MEDICAL,0.26,High School,2,female,RENT,18183,1
279,3,659,11.58,HOMEIMPROVEMENT,0.06,Associate,5,female,MORTGAGE,78890,0
280,11,725,12.18,VENTURE,0.16,Bachelor,14,male,MORTGAGE,112398,0
281,8,668,11.14,DEBTCONSOLIDATION,0.2,Bachelor,11,female,MORTGAGE,84934,1
282,8,600,12.69,VENTURE,0.08,High School,7,female,RENT,41717,0
283,2,651,7.66,PERSONAL,0.23,Bachelor,3,male,RENT,41389,1
284,4,690,7.66,PERSONAL,0.09,Master,0,male,MORTGAGE,76532,0
285,11,688,12.42,MEDICAL,0.06,High School,14,female,RENT,84907,0
286,3,642,16.35,EDUCATION,0.3,Associate,0,male,RENT,53876,1
287,3,539,11.01,MEDICAL,0.01,High School,2,male,RENT,186938,0
288,15,634,11.01,VENTURE,0.23,Associate,15,male,RENT,42940,0
289,7,666,15.98,MEDICAL,0.09,High School,3,male,RENT,42168,1
290,2,595,7.88,EDUCATION,0.16,Associate,4,male,MORTGAGE,60931,0
291,5,567,15.99,HOMEIMPROVEMENT,0.11,Associate,5,female,RENT,103526,1
292,3,623,15.99,HOMEIMPROVEMENT,0.04,High School,1,male,OWN,31532,0
293,4,603,12.73,EDUCATION,0.33,Associate,7,female,RENT,75526,1
294,3,679,12.42,VENTURE,0.05,Bachelor,0,female,MORTGAGE,87494,0
295,2,665,11.01,PERSONAL,0.13,High School,5,female,RENT,8267,1
296,14,698,8.7,MEDICAL,0.1,Associate,12,female,MORTGAGE,30902,0
297,4,672,13.49,DEBTCONSOLIDATION,0.14,Bachelor,4,male,MORTGAGE,138648,0
298,2,643,19.13,VENTURE,0.06,Associate,2,female,OWN,139177,0
299,5,703,11.6,VENTURE,0.13,Bachelor,0,female,MORTGAGE,79179,0
300,4,572,11.44,PERSONAL,0.17,Doctorate,5,male,MORTGAGE,151346,0
301,9,677,10.08,VENTURE,0.08,Associate,12,female,MORTGAGE,98306,0
302,4,659,14.54,EDUCATION,0.05,Associate,0,male,RENT,29986,1
303,2,492,11.01,VENTURE,0.23,Bachelor,0,female,RENT,42997,0
304,11,664,7.51,HOMEIMPROVEMENT,0.25,Associate,28,male,MORTGAGE,84772,0
305,7,616,13.33,EDUCATION,0.28,Associate,4,male,MORTGAGE,125550,0
306,4,573,10.65,DEBTCONSOLIDATION,0.17,Bachelor,0,male,MORTGAGE,58880,0
307,7,630,10,PERSONAL,0.24,Bachelor,7,female,RENT,50167,0
308,15,702,8.49,PERSONAL,0.24,High School,22,male,RENT,58814,0
309,4,680,6.91,EDUCATION,0.08,Associate,0,male,MORTGAGE,72778,0
310,10,707,12.53,DEBTCONSOLIDATION,0.32,Bachelor,5,male,MORTGAGE,38586,0
311,5,554,11.01,VENTURE,0.25,Associate,7,female,OWN,24254,1
312,8,569,9.83,EDUCATION,0.06,High School,6,male,MORTGAGE,75552,0
313,8,625,6.94,VENTURE,0.29,High School,9,male,MORTGAGE,49069,0
314,2,502,17.27,MEDICAL,0.13,Bachelor,3,male,RENT,51288,1
315,3,638,10.5,VENTURE,0.1,Bachelor,1,female,RENT,37116,0
316,2,595,18.43,VENTURE,0.43,Bachelor,8,male,RENT,58602,1
317,3,560,6.62,HOMEIMPROVEMENT,0.15,Bachelor,6,female,MORTGAGE,70120,0
318,4,648,10.59,MEDICAL,0.22,Bachelor,0,female,RENT,27001,0
319,4,589,12.42,DEBTCONSOLIDATION,0.16,Associate,0,female,RENT,36840,0
320,3,690,6.91,EDUCATION,0.12,Master,3,male,MORTGAGE,72851,0
321,7,659,10.78,MEDICAL,0.15,Master,3,male,MORTGAGE,14109,1
322,3,475,11.12,EDUCATION,0.14,Bachelor,2,female,RENT,36578,1
323,3,545,6.03,MEDICAL,0.06,Master,0,female,MORTGAGE,87390,0
324,2,709,13.79,HOMEIMPROVEMENT,0.08,Master,5,female,RENT,84731,0
325,3,612,7.29,EDUCATION,0.06,High School,3,male,MORTGAGE,90923,0
326,4,698,7.39,DEBTCONSOLIDATION,0.03,Bachelor,8,male,MORTGAGE,144976,0
327,6,677,11.97,HOMEIMPROVEMENT,0.21,Associate,4,female,RENT,49170,1
328,4,668,11.81,DEBTCONSOLIDATION,0.12,Bachelor,0,male,RENT,36909,0
329,7,606,8.99,EDUCATION,0.17,Associate,6,female,MORTGAGE,70280,0
330,4,676,7.9,DEBTCONSOLIDATION,0.02,High School,2,male,MORTGAGE,112607,0
331,3,647,11.01,EDUCATION,0.08,Bachelor,0,male,OWN,91045,0
332,2,696,11.01,VENTURE,0.17,Associate,5,male,RENT,18153,1
333,8,652,16.82,PERSONAL,0.18,Bachelor,5,male,MORTGAGE,112889,0
