ID,cb_person_cred_hist_length,credit_score,loan_int_rate,loan_percent_income,person_emp_exp,person_gender,person_income,loan_status,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT
123,2,662,13.85,0.31,3,0,23667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
124,8,672,17.58,0.12,8,0,122423,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
125,10,679,11.77,0.04,9,0,180922,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
126,8,664,7.66,0.05,7,0,80624,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
127,3,597,6.03,0.1,1,1,72936,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
128,16,674,17.27,0.22,18,1,69194,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
129,12,652,5.79,0.14,16,1,80521,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,3,600,7.88,0.12,1,0,43111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,3,625,11.36,0.2,0,1,29557,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
132,7,745,6.91,0.04,11,0,162982,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
133,28,660,11.71,0.09,28,0,56460,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
134,29,686,15.68,0.14,42,1,48899,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
135,7,662,10.13,0.4,4,1,42133,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
136,5,556,5.99,0.05,5,0,82627,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
137,3,585,6.62,0.03,0,1,74210,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
138,3,628,15.62,0.15,0,0,53636,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
139,6,659,14.55,0.16,5,0,55034,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140,6,633,11.48,0.19,4,1,45646,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
141,4,537,10.65,0.06,0,1,63919,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
142,8,690,16.17,0.07,9,1,50296,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
143,3,541,10.99,0.21,0,1,24003,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
144,7,687,14.11,0.04,13,0,90887,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
145,5,699,9.17,0.2,2,1,49973,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
146,13,654,12.53,0.15,14,0,51368,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
147,4,650,7.16,0.12,0,0,57475,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
148,3,647,6.62,0.08,1,1,118603,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
149,4,667,12.53,0.06,1,1,76901,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
150,3,659,7.51,0.2,0,0,83896,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
151,4,649,6.91,0.27,3,0,30998,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
152,17,627,7.9,0.16,21,1,62716,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
153,17,710,13.35,0.15,17,1,133045,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
154,3,587,16.02,0.1,2,0,40039,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
155,4,638,8.59,0.09,6,1,107062,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
156,2,643,8.59,0.22,2,1,44470,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
157,4,625,15.72,0.22,2,1,76551,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
158,2,643,11.01,0.04,2,0,126839,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
159,4,610,14.74,0.08,1,0,13021,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
160,8,676,11.58,0.03,11,1,56045,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
161,12,588,11.01,0.13,19,1,93348,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
162,12,626,12.78,0.13,13,1,25851,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
163,6,644,10.75,0.15,7,1,97290,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
164,3,607,9.32,0.1,0,1,14293,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
165,12,649,10.38,0.07,21,1,106956,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
166,4,669,11.49,0.07,1,1,111537,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
167,11,631,13.48,0.06,20,1,80167,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
168,3,644,15.27,0.15,2,0,35685,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
169,15,615,8.87,0.09,24,0,105667,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
170,4,708,11.35,0.16,5,0,62167,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
171,8,586,13.24,0.21,3,1,96831,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
172,7,676,10.76,0.19,10,0,94379,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
173,3,636,16.82,0.16,1,1,95147,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
174,8,622,11.48,0.17,4,1,28837,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
175,4,654,12.99,0.11,2,1,87725,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
176,9,707,13.52,0.14,13,0,71870,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
177,2,572,6.17,0.04,1,0,51696,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
178,10,656,6.62,0.22,8,1,40069,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
179,8,645,13.23,0.18,6,1,29742,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
180,7,552,8.9,0.16,12,1,30698,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
181,17,727,10.03,0.04,22,0,144620,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
182,17,622,7.65,0,22,1,1661567,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
183,2,622,16.45,0.06,6,1,39029,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
184,3,707,7.9,0.04,0,0,81730,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
185,9,652,8.88,0.17,7,1,118788,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
186,5,676,5.79,0.16,9,1,44098,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,3,678,12.18,0.08,0,0,22819,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
188,4,591,8.51,0.09,2,1,127106,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
189,8,664,9.68,0.07,5,1,270660,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
190,7,636,11.99,0.26,6,1,58735,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
191,2,556,7.9,0.11,0,0,150952,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
192,3,625,13.26,0.08,0,1,33782,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
193,15,676,9.91,0.24,13,0,49105,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
194,4,623,8.9,0.1,4,0,75520,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
195,5,659,9.52,0.05,2,1,109394,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
196,3,613,6.91,0.22,2,1,80399,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
197,8,575,11.06,0.07,7,1,97141,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
198,3,580,11.12,0.15,6,1,50828,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
199,4,701,6.99,0.04,0,1,78958,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
200,8,687,14.82,0.18,5,1,109408,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
201,4,648,6.03,0.39,0,0,37145,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
202,2,662,11.49,0.1,0,1,67156,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
203,3,653,14.22,0.31,4,1,48596,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
204,15,647,14.98,0.18,16,1,84852,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
205,2,606,7.49,0.08,0,0,90865,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
206,7,685,13.22,0.14,6,1,73149,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
207,2,632,11.99,0.17,0,1,35699,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
208,6,618,6.54,0.06,8,0,74080,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
209,2,629,9.99,0.23,0,1,34972,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
210,9,556,15.23,0.04,4,0,40844,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
211,7,663,11.01,0.04,7,0,114918,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
212,11,679,12.46,0.16,22,0,37109,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
213,8,635,11.99,0.32,5,1,29760,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
214,4,597,12.44,0.05,0,1,64548,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
215,6,664,5.8,0.08,8,1,103849,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
216,3,586,5.99,0.21,0,0,71766,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
217,3,666,8.9,0.09,3,1,53638,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
218,4,616,11.01,0.12,2,0,73057,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
219,4,672,7.49,0.07,0,1,186090,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
220,4,488,7.61,0.2,2,1,85146,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
221,3,574,13.92,0.22,2,1,31349,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
222,5,550,7.29,0.08,6,1,88421,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
223,6,615,11.89,0.02,11,1,138890,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
224,5,716,8.88,0.2,2,0,34344,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
225,6,540,5.42,0.06,4,0,168937,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
226,6,613,7.14,0.15,8,1,58856,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
227,4,705,11.14,0.43,1,1,51325,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
228,3,562,7.4,0.06,0,0,72988,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
229,3,660,9.99,0.1,4,0,193076,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
230,3,641,13.8,0.16,3,0,88424,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
231,2,718,7.9,0.17,2,1,60570,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
232,20,670,6.76,0.11,35,1,74199,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
233,2,685,11.83,0.15,4,0,80247,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
234,3,647,9.91,0.09,0,0,66611,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
235,7,616,13.23,0.1,5,1,103166,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
236,7,691,16.3,0.09,10,1,56639,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
237,2,496,12.68,0.04,6,0,115592,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
238,8,662,9.63,0.41,8,1,36818,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
239,4,567,11.77,0.24,1,1,106169,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
240,2,663,12.84,0.01,1,1,109055,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
241,9,571,9.96,0.04,4,1,75296,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
242,10,647,10.59,0.07,5,1,61054,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
243,2,552,13.11,0.04,0,1,37436,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
244,4,673,7.66,0.4,0,1,46436,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
245,2,606,5.79,0.08,0,1,76212,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
246,2,637,13.06,0.01,3,1,103301,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
247,3,581,7.14,0.08,1,1,82635,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
248,2,597,7.5,0.05,0,0,43537,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
249,6,612,10.99,0.05,4,1,87419,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
250,2,651,9.99,0.02,0,0,91158,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
251,7,667,7.38,0.16,1,0,31299,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
252,8,689,6.91,0.2,3,0,110825,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
253,3,673,13.8,0.22,2,0,31075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
